CZ,Horizon,InputHist,InputMete,InputNWP,InputST,ModClass,Reference,ResMin,SS,TestLength,TrainLength,Type,Year
D,60,0,1,0,0,ImageBased,SP,15,13.2,123,0,Sources,2020
B,60,1,1,0,0,Hybrid,Persistence,60,54.76,366,1095,Sources,2021
B,1440,1,1,0,0,ML,Persistence,60,86.33,54.75,255.5,PV,2018
C,60,1,1,0,0,ML,SP,30,18.52,120,7305,Sources,2020
C,135,1,0,1,0,ML,SP,15,45.75,365,853,PV,2021
C,1440,0,1,0,0,Hybrid,Persistence,60,16.4,365,0,Sources,2020
B,15,1,1,0,0,Ens,SP,15,12.26,274,548,Sources,2020
A,60,1,1,0,0,Ens,SP,15,17.03,274,548,Sources,2020
B,180,1,1,0,0,TS,SP,60,82.9,365,365,Sources,2022
D,180,1,1,0,1,ML,SP,5,33,365,1460,Sources,2020
C,2880,1,0,1,1,TS,Persistence,60,20.8,365,365,PV,2019
D,60,1,0,0,0,ML,SP,60,32.95,30,2920,Sources,2016
C,45,1,1,0,0,TS,SP,15,10.7,198,396,Sources,2020
C,2880,1,0,0,1,TS,Persistence,60,14,184,181,PV,2018
D,60,1,1,0,0,Hybrid,Persistence,60,37.566,365,1461,Sources,2020
C,1440,1,0,0,0,ImageBased,Persistence,60,29,365,0,PV,2018
B,1440,1,0,0,0,ML,Persistence,60,1.92142242615427,31,365,Sources,2021
C,60,0,0,0,0,ImageBased,SP,60,12.5,365,1675,Sources,2018
A,1440,1,0,0,0,ML,Persistence,360,19.2,183,365,Sources,2017
C,360,0,0,0,0,ImageBased,SP,60,25.7,365,1675,Sources,2018
B,1440,1,0,0,0,ML,Persistence,360,29.2,183,365,Sources,2017
C,1440,1,0,1,0,ML,Persistence,60,47,225,269,PV,2020
A,60,1,1,0,0,Ens,Persistence,60,39,365,183,Sources,2019
D,1440,1,0,1,0,NWP,Persistence,60,37.5,731,0,Sources,2019
A,120,1,0,0,0,ML,Persistence,2,19.51,335,30,PV,2016
C,180,1,1,0,0,Reg,SP,60,5.893,350,700,Sources,2015
C,2880,1,0,0,1,Ens,Persistence,60,18,184,181,PV,2018
C,60,1,1,0,0,ML,SP,60,1.996,350,700,Sources,2015
C,60,1,1,0,0,Hybrid,SP,60,13.29,365,4383,Sources,2021
C,2880,1,1,1,0,ImageBased,Persistence,15,36.8,365,0,PV,2021
D,60,1,1,0,0,ML,SP,10,26.69,731,1096,Sources,2020
B,120,1,1,0,0,Ens,SP,15,16.24,274,548,Sources,2020
C,60,1,1,0,0,ML,SP,60,20.7676381589425,730,2922,Sources,2021
C,30,1,1,0,0,TS,SP,15,10.8,198,396,Sources,2020
D,15,1,0,0,0,ML,Persistence,15,-90,183,365,Sources,2017
C,1,1,0,0,0,ImageBased,Persistence,1,16.3934426229508,18,72,PV,2018
D,1440,1,1,1,0,ML,Persistence,60,42.5,365,365,PV,2016
D,30,1,1,0,0,Ens,SP,15,10.38,274,548,Sources,2020
C,2880,1,0,1,1,ImageBased,Persistence,60,14,184,181,PV,2018
C,75,1,0,1,0,ML,SP,15,24.39,365,853,PV,2021
C,10,1,0,0,0,ImageBased,SP,5,15.5,366,730,Sources,2021
A,60,1,0,1,0,TS,SP,60,3.8,365,366,Sources,2016
C,2880,1,0,1,0,ML,SP,15,39.19,365,853,PV,2021
B,120,1,1,0,1,Reg,SP,60,3.689,350,700,Sources,2015
C,1440,0,1,0,0,ML,Persistence,60,36.3,365,3653,Sources,2019
B,2.66666666666667,1,1,0,0,TS,Persistence,0.0166666666666667,3.5,171,171,PV,2015
C,60,0,0,0,0,ImageBased,Persistence,60,4,345,345,Sources,2019
C,20,1,1,0,0,ML,SP,5,24,146,183,Sources,2015
C,2880,1,0,1,1,TS,Persistence,60,18.3,365,365,PV,2019
C,120,1,1,0,0,ML,SP,60,2.606,350,700,Sources,2015
B,60,1,1,0,0,Ens_Hyb,SP,60,36.0633440202079,730,2922,Sources,2021
N,300,1,0,0,0,ML,Persistence,60,51.1703703703704,73,292,Sources,2018
C,45,1,0,0,0,ML,SP,5,16.2,91,183,Sources,2015
N,90,1,1,0,0,TS,Persistence,15,40.2154398563734,146,585,Sources,2018
N,1440,1,0,0,0,ML,Persistence,360,34.5,183,365,Sources,2017
A,60,1,1,0,0,Ens,SP,60,12.27,365,3285,Sources,2021
C,360,1,1,0,0,ML,SP,15,60.2,109.5,255.5,Sources,2016
D,60,1,0,0,0,ML,Persistence,60,75.52,31,730,Sources,2019
C,60,1,1,0,1,ML,SP,60,-1.38834541157318,254,1460,Sources,2021
C,105,1,1,0,0,Ens,SP,15,15.08,274,548,Sources,2020
D,45,1,1,0,0,Ens,SP,15,11.37,274,548,Sources,2020
C,50,1,1,0,0,ML,SP,5,29.1,146,183,Sources,2015
C,180,1,1,0,0,TS,SP,60,7.6,365,365,Sources,2022
A,60,1,0,0,1,TS,Persistence,60,44.0280316879951,365,365,Sources,2016
B,60,1,1,0,0,Hybrid,PerClim,60,31.34,366,1095,Sources,2021
C,360,1,1,1,0,Ens,SP,15,18.21,730,730,Sources,2020
C,1440,0,0,0,0,ImageBased,Persistence,60,41,345,345,Sources,2019
C,105,1,1,0,0,TS,SP,15,14.6,198,396,Sources,2020
B,120,1,1,0,0,ML,SP,60,12.161,350,700,Sources,2015
C,120,1,1,0,1,Reg,SP,60,27.671,350,700,Sources,2015
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,28,184,181,PV,2018
C,15,1,1,0,0,ImageBased,SP,15,14.3,181,731,Sources,2021
C,15,1,0,0,0,ImageBased,SP,1,15.7,20,365,PV,2019
N,15,1,0,0,0,ML,Persistence,15,-4.3,183,365,Sources,2017
B,60,1,1,0,0,Hybrid,PerClim,60,32.69,366,1095,Sources,2021
A,360,1,1,0,0,ML,Persistence,60,62.3312620527105,365,366,Sources,2015
C,180,1,1,1,0,ImageBased,SP,30,33,365,0,Sources,2017
C,60,1,1,0,0,ML,SP,60,5.28,122,5114,Sources,2020
C,240,0,0,0,0,ImageBased,SP,15,30.9,181,731,Sources,2021
D,60,1,1,0,0,ML,Persistence,60,29,365,183,Sources,2019
C,120,1,1,0,1,Reg,SP,60,10.862,350,700,Sources,2015
C,2880,1,0,0,1,TS,Persistence,60,10,184,181,PV,2018
C,1440,1,1,0,0,ML,Persistence,60,38.7,270,284,Sources,2015
D,180,0,1,0,0,ImageBased,SP,15,9.3,123,0,Sources,2020
C,1440,0,0,1,1,ML,Persistence,60,45.9,365,2556,Sources,2018
C,180,1,1,0,0,Reg,SP,60,7.853,350,700,Sources,2015
B,360,1,1,0,0,Reg,Persistence,60,84.5431637132174,365,1095,Sources,2022
C,15,1,0,0,0,ML,SP,5,12.4,91,183,Sources,2015
B,90,1,1,0,0,ImageBased,PerClim,15,8.02,92,335,Sources,2022
E,60,1,1,0,0,ML,Persistence,60,14,365,183,Sources,2019
B,15,1,0,0,0,ML,Persistence,15,11,183,365,Sources,2017
C,2880,1,0,1,1,TS,Persistence,60,22.9,365,365,PV,2019
D,60,1,1,0,0,ML,Persistence,60,34,365,183,Sources,2019
B,60,1,1,0,0,Ens,Persistence,60,34,365,183,Sources,2019
B,1440,1,0,0,0,ML,Persistence,60,33.3237740177803,31,365,Sources,2021
B,60,1,0,0,0,ML,Persistence,60,42.9,183,365,Sources,2017
D,60,1,0,0,0,ML,Persistence,60,54.153605015674,731,730,Sources,2019
B,120,1,1,0,0,ML,SP,60,13.8323353293413,273.75,821.25,Sources,2015
C,180,1,0,0,0,ML,Persistence,60,65.2145075220839,365,730,Sources,2022
C,1440,0,0,1,0,Ens,Persistence,60,85,730,730,Sources,2020
C,60,1,0,0,0,ML,SP,10,10.0727802037846,365,365,Sources,2021
A,105,1,1,0,0,ML,SP,15,22.96,30,178.12,PV,2019
C,360,1,1,0,0,ML,Persistence,60,65.2897994960009,365,366,Sources,2015
C,10,1,0,0,0,ImageBased,SP,1,10.1,186,178,Sources,2015
C,1440,1,0,0,0,Ens_Hyb,Persistence,60,31,365,0,PV,2018
D,60,1,1,0,0,ML,SP,10,38.31,731,1096,Sources,2020
N,180,1,1,0,1,Reg,SP,60,41.18,350,700,Sources,2015
D,30,1,1,0,0,ML,SP,10,1.57,731,1096,Sources,2022
C,60,1,0,0,0,ML,Persistence,60,28.6842105263158,219,876,Sources,2018
A,60,1,1,0,0,ML,Persistence,60,39.85,335,30,PV,2016
B,180,1,0,0,0,ML,Persistence,60,61.038961038961,1338.33333333333,1338.33333333333,Sources,2019
C,2880,1,0,1,1,TS,Persistence,60,24.8,365,365,PV,2019
B,180,1,1,0,0,ML,SP,60,15.841,350,700,Sources,2015
C,60,1,1,0,0,ML,SP,60,9.41745574310415,730,2922,Sources,2021
N,180,1,0,1,0,TS,Persistence,15,45.3,184,181,PV,2017
C,180,1,1,0,0,ML,SP,60,23.968,350,700,Sources,2015
D,1440,1,0,1,0,NWP,Persistence,60,30.28,731,0,Sources,2019
C,45,1,0,0,0,ML,SP,5,18,91,183,Sources,2015
N,120,1,1,0,1,Reg,SP,60,25.122,350,700,Sources,2015
C,1440,1,0,1,0,ML,SP,60,41.6666666666667,731,730,PV,2019
C,1440,1,0,0,0,TS,Persistence,60,20,365,0,PV,2018
C,180,1,0,0,0,Reg,Persistence,60,65.2868642407067,365,730,Sources,2022
C,360,1,1,0,0,Reg,Persistence,60,70.0801649106734,365,730,Sources,2022
D,120,0,1,0,0,ImageBased,SP,15,11.4,123,0,Sources,2020
B,1440,0,0,1,1,ML,Persistence,60,43.6,365,2556,Sources,2018
C,30,1,0,0,0,ImageBased,SP,5,14.1,366,730,Sources,2021
B,180,1,0,0,0,ML,SP,60,20.6651936271659,365,1095,Sources,2022
B,60,1,1,0,1,Reg,SP,60,1.008,350,700,Sources,2015
B,60,1,0,0,0,ML,Persistence,60,60.7386011966165,365,1095,Sources,2019
B,180,1,1,0,1,Reg,SP,60,16.09,350,700,Sources,2015
A,300,1,1,0,0,ML,SP,60,29.22,365,366,Sources,2015
C,60,1,1,0,0,ML,SP,30,-68.23,365,7305,Sources,2020
B,120,1,1,0,0,Hybrid,Persistence,60,14.04,150,580,Sources,2022
D,120,0,1,0,0,ImageBased,SP,15,7.3,123,0,Sources,2020
B,15,1,0,0,0,ImageBased,SP,5,19.4,1,7,PV,2015
C,5,1,0,0,0,TS,Persistence,5,1.37,365,365,Sources,2019
C,30,1,1,0,0,ImageBased,SP,5,20.4,146,183,Sources,2015
C,60,1,1,0,0,ML,SP,30,40.42,92,7305,Sources,2020
C,180,1,1,0,1,Reg,SP,60,15.424,350,700,Sources,2015
A,180,1,0,1,0,ML,SP,60,22.9,365,366,Sources,2016
C,60,1,0,0,0,ML,Persistence,60,58.0436540016168,731,730,Sources,2019
C,30,1,1,0,0,Ens,SP,15,11.05,274,548,Sources,2020
B,60,1,1,0,0,ML,PerClim,60,7.26,366,1461,Sources,2021
A,180,1,1,0,0,TS,SP,60,11.4,365,366,Sources,2015
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,35,184,181,PV,2018
C,60,1,1,0,0,ML,SP,60,12.18,365,4383,Sources,2021
C,2880,1,0,0,1,Ens,Persistence,60,19,184,181,PV,2018
B,360,1,0,0,0,ML,SP,60,30.2178365295103,365,1095,Sources,2022
B,360,1,1,0,0,ML,Persistence,60,84.6203869289547,365,1095,Sources,2022
C,720,1,1,1,0,ImageBased,PerClim,15,34.2,365,0,PV,2021
D,1440,1,1,1,0,Ens,Persistence,60,46.5,365,365,PV,2016
C,300,1,1,0,0,ML,Persistence,15,83.1,109.5,255.5,Sources,2016
E,1440,1,0,0,0,ML,Persistence,360,22.6,183,365,Sources,2017
A,15,1,0,0,0,ML,SP,5,14.5,91,183,Sources,2015
C,1440,0,0,1,1,ML,Persistence,60,56.7,365,2556,Sources,2018
B,60,1,1,0,0,ML,SP,60,27.0558619036202,730,2922,Sources,2021
C,1440,1,0,0,0,TS,Persistence,60,20,365,0,PV,2018
C,180,1,1,0,0,Reg,SP,60,4.769,350,700,Sources,2015
B,60,1,1,0,0,Reg,Persistence,60,45.2,365,0,Sources,2018
C,300,1,0,0,0,ML,Persistence,60,45.9196378041879,219,876,Sources,2018
D,1440,1,1,1,0,NWP,Persistence,60,47.13,731,0,Sources,2019
D,60,1,0,0,0,ML,Persistence,60,21.32,31,730,Sources,2019
C,1440,1,0,0,0,ImageBased,Persistence,60,24,365,0,PV,2018
A,3600,1,0,0,0,TS,SP,60,28.44,335,30,PV,2016
C,60,1,1,0,1,ML,SP,60,39.2160472580865,90,1460,Sources,2021
A,120,1,0,0,0,TS,Persistence,2,15.18,335,30,PV,2016
C,720,1,1,1,0,ImageBased,PerClim,15,33.1,365,0,PV,2021
D,1440,1,1,1,1,ML,SP,15,42.8,365,365,PV,2017
D,2880,0,1,1,0,Hybrid,SP,60,29.8076923076923,365,365,Sources,2015
C,2880,0,1,1,0,ImageBased,SP,60,34.5238095238095,365,0,Sources,2015
D,1440,1,1,1,0,NWP,Persistence,60,45.01,731,0,Sources,2019
B,60,1,0,0,0,Reg,SP,60,11.6552901023891,365,1095,Sources,2022
B,240,1,1,0,1,ML,SP,60,19.2520775623269,183,548,Sources,2015
C,90,1,0,0,0,ML,SP,5,15.6,91,183,Sources,2015
C,180,0,0,0,0,ImageBased,SP,60,22.5,365,1675,Sources,2018
C,2880,1,0,0,1,Ens,Persistence,60,17,184,181,PV,2018
D,60,1,0,0,0,ML,SP,60,79.38,31,2920,Sources,2016
C,1440,1,0,0,0,TS,Persistence,60,14,365,0,PV,2018
C,360,1,1,1,0,Ens,SP,15,16.72,730,730,Sources,2020
